ticker,qend,rev_growth_yoy,gross_margin,op_margin,net_margin,roa,roe,asset_turnover,current_ratio,debt_to_equity,lt_debt_to_assets,cash_to_assets,interest_cov,ocf_to_revenue,fcf_to_revenue,capex_to_revenue,log_assets,log_revenue,mom_3m,mom_6m,mom_12m,vol_90d,rel_mom_3m,spy_mom_3m,spy_vol_90d,fwd_ret_90d,spy_fwd_ret_90d,excess_ret_90d,target_up,target
AAPL,2024-12-31,,0.4688254223652454,0.34458567980691873,0.2922767497988737,0.10558437595361611,0.5442044399173133,0.361247947454844,0.9229383853427077,4.154213727193745,0.24399784936861532,0.08805673016841768,,0.2408286403861625,0.21717618664521318,0.023652453740949316,26.56415455682061,25.545963835463077,0.10545684150698831,0.10888798699092961,0.3555635467608005,0.18751909728481633,0.0717183110226205,0.03373853048436781,0.12679056892573304,-0.11199494975022306,-0.04266863094930573,-0.06932631880091733,0,0
AAPL,2025-03-31,,0.47050619238876246,0.31029058610094484,0.25986010759341016,0.07481138654663032,0.3709802982214504,0.2878910011985521,0.8208700223419635,3.958874782921133,0.23719255025918312,0.08502172186949972,,0.25117713063266184,0.2189725143929781,0.03220461623968372,26.52608789217517,25.280914553631284,-0.11199494975022306,-0.01834874190862701,0.3125850909976735,0.25352100263262584,-0.06932631880091733,-0.04266863094930573,0.152735245381666,-0.07514043931220316,0.10777191871295244,-0.1829123580251556,0,0
AAPL,2025-06-30,,0.4649070568718363,0.2999064188183249,0.24920243311072354,0.07069186563899908,0.355977517849005,0.283672453581502,0.8679917800453515,4.035622056813003,0.24866136744143955,0.10941039834688306,,0.29634395337955677,0.25952826577055593,0.03681568760900081,26.52687856350232,25.266943524622185,-0.079532909177227,-0.15659247512084495,-0.048998684653824065,0.43772410393138667,-0.18418477321774485,0.10465186404051785,0.2871056750993482,0.24150092784695643,0.07715462675611473,0.1643463010908417,1,1
AAPL,2025-09-30,,0.47177600374758455,0.3164659496808698,0.2680498897195167,0.076455638415437,0.3725062048200941,0.2852291358725758,0.8932929222186667,3.872187487285205,0.21803747345097024,0.10002755810166435,,0.2901255050455761,0.2584857416118517,0.031639763433724356,26.607259309399666,25.35279687318076,0.19995749349974745,0.25622948764691933,0.0979186416138389,0.2372845962713427,0.12327618357697312,0.07668130992277433,0.0997097149141706,0.07617086441230936,0.03557971664155657,0.04059114777075279,1,1
AAPL,2025-12-31,0.15652453740949257,0.4815868555051615,0.35373827875010433,0.292836472912435,0.11098690472110247,0.4773443701099898,0.37900642504422655,0.9737446648641658,3.300907132327928,0.2021766583969818,0.1194762943023541,,0.3751147778179693,0.3586076407245611,0.016507137093408276,26.661585376303368,25.691383254883252,0.058311048304635404,0.27573094171946266,0.09052605808681724,0.20168936420925662,0.03632262940208153,0.021988418902553875,0.11473373685833697,-0.06559447324600731,-0.04370584558740376,-0.021888627658603554,0,0
MSFT,2025-03-31,,0.6871663859789342,0.456712242742557,0.3685667798932435,0.045899215106358776,0.08022591498364354,0.12453432487771585,1.3715916852004273,0.7478711737824295,0.07088570697304061,0.0512384825389603,53.823232323232325,0.5287015100048525,0.2897125567322239,0.23898895327262867,27.055877391175123,24.972703491928026,-0.10760927968068656,-0.0964552560004891,-0.10908450524853996,0.24001501246884965,-0.06494064873138083,-0.04266863094930573,0.152735245381666,0.3274812458912988,0.10777191871295244,0.21970932717834635,1,1
MSFT,2025-06-30,,0.6858492170432098,0.44901296424693554,0.3562616920239139,0.043994940250693455,0.07928577875212167,0.12349051620105234,1.3534464445042416,0.8021567548525529,0.06486559838966854,0.04885598292738484,54.03414634146341,0.5579074057115946,0.3344801873340223,0.22342721837757223,27.15137595614592,25.059785038388853,0.3038623867568415,0.19289593262480476,0.09741789442518312,0.300807440988737,0.19921052271632367,0.10465186404051785,0.2871056750993482,0.036259622418890025,0.07715462675611473,-0.040895004337224705,1,0
MSFT,2025-09-30,,0.6904587179586213,0.48872838695557014,0.35722838051832684,0.04360329440827468,0.07642201632716016,0.12205999519133308,1.4005303860855136,0.7526661084731572,0.05559196104036923,0.04533504308156976,50.14183381088825,0.5800857440809548,0.33039795038172853,0.24968779369922625,27.17901613484548,25.07577354358376,0.05642849718330978,0.3930312757197576,0.21273202370143562,0.15500096335634816,-0.020252812739464554,0.07668130992277433,0.0997097149141706,-0.05780160126357381,0.03557971664155657,-0.09338131790513038,0,0
MSFT,2025-12-31,,0.6803612515841669,0.47094360980891564,0.473195280105324,0.05780532750540356,0.09838951071314359,0.12215956062059034,1.3860236144763662,0.7020837863767189,0.05324649557644498,0.03651875388921121,66.55163043478261,0.43997391507634764,0.07237335892608862,0.367600556150259,27.223506909852368,25.121079695020622,-0.06052436561277319,-0.027099575469048176,0.15584234631031446,0.17785958749753444,-0.08251278451532706,0.021988418902553875,0.11473373685833697,-0.23283795786928385,-0.04370584558740376,-0.1891321122818801,0,0
GOOGL,2024-09-30,,,,,,,,,,,,,,,,,,-0.10348688597512201,0.07320351568660244,0.23917934035838329,0.24382384847634608,-0.1517736468140659,0.0482867608389439,0.1386946980293202,0.15441155582213817,0.028652561032577628,0.12575899478956054,1,1
