mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,data_set
0.1279202938079834,0.03744010925292969,0.024959945678710942,0.007642391366541052,0.1,{'var_smoothing': 0.1},0.5544836658627494,0.5540451655338742,0.5540451655338742,0.44573558430168825,0.5537280701754386,0.5324075302815249,0.04333664020693739,1,0.5541303513676479,0.5542399824590254,0.5542399824590254,0.4460340952694184,0.5543192282394211,0.5325927279589077,0.04327935809227194,database_25
0.12480020523071288,0.02790630753040834,0.04680013656616211,0.01973256965470097,0.01,{'var_smoothing': 0.01},0.44617408463056346,0.5540451655338742,0.44573558430168825,0.4459548344661258,0.44605263157894737,0.4675924601022398,0.04322659172323639,5,0.4459792797237296,0.5542399824590254,0.4460889108151072,0.4460340952694184,0.4460096470072353,0.4676703830549032,0.04328481462132878,database_25
0.10920014381408692,0.009866435617191131,0.04056005477905274,0.018720006943052675,0.001,{'var_smoothing': 0.001},0.44617408463056346,0.5540451655338742,0.44573558430168825,0.4459548344661258,0.44605263157894737,0.4675924601022398,0.04322659172323639,5,0.4459792797237296,0.5542399824590254,0.4461985419064847,0.4460340952694184,0.4461192720894541,0.4677142342896224,0.043262938377655866,database_25
0.15288028717041016,0.05870259564826472,0.03744006156921387,0.02116085161686241,0.0001,{'var_smoothing': 0.0001},0.4463933347950011,0.5540451655338742,0.44573558430168825,0.4459548344661258,0.44605263157894737,0.4676363101351274,0.04320494798482282,3,0.4460340952694184,0.5542399824590254,0.4461985419064847,0.4460340952694184,0.4461192720894541,0.4677251973987602,0.0432574358055338,database_25
0.1216801643371582,0.011673996616592816,0.0436800479888916,0.01819259574059011,1e-05,{'var_smoothing': 1e-05},0.4463933347950011,0.5540451655338742,0.44573558430168825,0.4459548344661258,0.44605263157894737,0.4676363101351274,0.04320494798482282,3,0.4460340952694184,0.5542399824590254,0.4461985419064847,0.4460340952694184,0.4461192720894541,0.4677251973987602,0.0432574358055338,database_25
0.13104009628295898,0.01590885015029886,0.03744015693664551,0.007642391366541052,1e-06,{'var_smoothing': 1e-06},0.4463933347950011,0.5540451655338742,0.44573558430168825,0.4459548344661258,0.44627192982456143,0.4676801697842501,0.04318312077548383,2,0.4460889108151072,0.5542399824590254,0.4462533574521734,0.4460889108151072,0.44617408463056346,0.4677690492343953,0.043235509909345916,database_25
0.13416037559509278,0.027199596015774232,0.034319972991943365,0.006239962578503043,1e-07,{'var_smoothing': 1e-07},0.4463933347950011,0.5531681648761236,0.4459548344661258,0.4459548344661258,0.4456140350877193,0.4674170407382191,0.04287627585047167,7,0.4461437263607959,0.5539659047305816,0.4464178040892397,0.4461985419064847,0.4466125849594387,0.4678677124093081,0.04304941869748514,database_25
0.1622403621673584,0.033603554493815836,0.03432011604309082,0.006239891052246094,1e-08,{'var_smoothing': 1e-08},0.4470510852883139,0.4463933347950011,0.44617408463056346,0.44573558430168825,0.4464912280701753,0.4463690634171485,0.0004289474680942984,9,0.4461437263607959,0.4481170860055912,0.4463629885435509,0.4462533574521734,0.44688664766498576,0.44675276120541946,0.000728224968410279,database_25
0.1216801643371582,0.011674124056405666,0.03120007514953613,1.1680077279964342e-07,1e-09,{'var_smoothing': 1e-09},0.5058101293575971,0.4466125849594387,0.4494628370971278,0.4463933347950011,0.449780701754386,0.4596119175927101,0.023141499476607763,8,0.5051800690675876,0.4490489502823001,0.4472948528202598,0.4476785616400811,0.4485310238982679,0.4595466915416993,0.022825041989087032,database_25
0.07488021850585938,0.01167404759249013,0.02808008193969726,0.018192718405707325,0.1,{'var_smoothing': 0.1},0.5552414093083949,0.5556763810352328,0.5548064375815572,0.5554588951718138,0.5556763810352328,0.5553719008264463,0.0003255030349520665,1,0.5554045237059592,0.5552957807742497,0.5555132666376685,0.5553501522401044,0.5552957807742497,0.5553719008264463,8.13757587380092e-05,database_30
0.1747201919555664,0.042321833298873436,0.03744001388549805,0.007642508165826269,0.01,{'var_smoothing': 0.01},0.5552414093083949,0.5556763810352328,0.5548064375815572,0.5554588951718138,0.5556763810352328,0.5553719008264463,0.0003255030349520665,1,0.5554045237059592,0.5552957807742497,0.5555132666376685,0.5553501522401044,0.5552957807742497,0.5553719008264463,8.13757587380092e-05,database_30
0.18408031463623048,0.11480606821033612,0.040559959411621084,0.018720054626464845,0.001,{'var_smoothing': 0.001},0.5552414093083949,0.5556763810352328,0.5548064375815572,0.5554588951718138,0.5556763810352328,0.5553719008264463,0.0003255030349520665,1,0.5554045237059592,0.5552957807742497,0.5555132666376685,0.5553501522401044,0.5552957807742497,0.5553719008264463,8.13757587380092e-05,database_30
0.12168021202087402,0.006240105629650488,0.034319972991943365,0.006240081787109375,0.0001,{'var_smoothing': 0.0001},0.5552414093083949,0.5556763810352328,0.5548064375815572,0.5554588951718138,0.5556763810352328,0.5553719008264463,0.0003255030349520665,1,0.5554045237059592,0.5552957807742497,0.5555132666376685,0.5553501522401044,0.5552957807742497,0.5553719008264463,8.13757587380092e-05,database_30
0.1279202938079834,0.0062400579495784465,0.031199979782104488,9.5367431640625e-08,1e-05,{'var_smoothing': 1e-05},0.5552414093083949,0.5556763810352328,0.5543714658547194,0.5554588951718138,0.5556763810352328,0.5552849064810788,0.00048436401590520216,5,0.5554045237059592,0.5552957807742497,0.5555132666376685,0.5553501522401044,0.5552957807742497,0.5553719008264463,8.13757587380092e-05,database_30
