mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,data_set
0.8829615592956543,0.14620810622809444,0.012480020523071287,0.0062400102622188576,gini,0.1,10,"{'criterion': 'gini', 'min_samples_split': 0.1, 'n_estimators': 10}",0.5976759482569612,0.5875904406928305,0.590221442666082,0.5910984433238325,0.587938596491228,0.5909049742861869,0.003636929045802996,22,0.6049443622211259,0.589102669517075,0.5988598366496738,0.6016554294798004,0.6038697654023241,0.5996864126539998,0.00568721984465116,database_25
9.45461654663086,3.206069379687246,0.08736019134521485,0.012480103970342585,gini,0.1,100,"{'criterion': 'gini', 'min_samples_split': 0.1, 'n_estimators': 100}",0.5869326901995177,0.5932909449682088,0.5845209383907038,0.5886866915150186,0.5975877192982456,0.590203796874339,0.004676524816786886,24,0.5973250013703887,0.5978731568272763,0.5973798169160774,0.6008331962944691,0.6039245779434335,0.599467149870329,0.0025776470176813275,database_25
100.19061613082886,28.285678886500683,0.9609616279602052,0.32746680010542495,gini,0.1,1000,"{'criterion': 'gini', 'min_samples_split': 0.1, 'n_estimators': 1000}",0.5928524446393335,0.6011839508879632,0.5864941898706424,0.5875904406928305,0.5927631578947369,0.5921768367971014,0.005201073503573737,21,0.5995724387436276,0.5995176231979389,0.5970509236419449,0.6010524584772241,0.6014580135935101,0.5997302915308491,0.0015480508109386908,database_25
1.8630433559417725,0.677611284053231,0.012479972839355471,0.006239986421499643,gini,0.01,10,"{'criterion': 'gini', 'min_samples_split': 0.01, 'n_estimators': 10}",0.6331944748958561,0.6292479719359789,0.6202587151940364,0.6274939706204781,0.6300438596491228,0.6280477984590944,0.004310208774027214,14,0.7258126404648358,0.7105739187633613,0.7189058817080524,0.7238940963657293,0.7314185485639114,0.722121017173178,0.007026927636703578,database_25
14.35202522277832,2.8589875335553447,0.09672021865844728,0.0062400102622188576,gini,0.01,100,"{'criterion': 'gini', 'min_samples_split': 0.01, 'n_estimators': 100}",0.6428414821311116,0.63560622670467,0.6430607322955493,0.6375794781846086,0.6342105263157894,0.6386596891263457,0.003664481187452683,12,0.7491640629282464,0.7391328180672039,0.7449432659102121,0.7451077125472784,0.7466564349923263,0.7450008588890535,0.003302176186942837,database_25
142.11624956130981,28.51330840518917,0.9110416889190672,0.044780562719458634,gini,0.01,1000,"{'criterion': 'gini', 'min_samples_split': 0.01, 'n_estimators': 1000}",0.6448147336110502,0.6432799824599869,0.6406489804867354,0.6371409778557334,0.6379385964912281,0.6407646541809469,0.0029617910905581552,11,0.749712218385134,0.7446691881817683,0.7437373239050594,0.7475195965575837,0.7479719359789521,0.7467220526016994,0.00220282699955708,database_25
1.7128830909729005,0.042321886028498235,0.018720006942749026,0.006239962580324958,gini,0.001,10,"{'criterion': 'gini', 'min_samples_split': 0.001, 'n_estimators': 10}",0.6231089673317255,0.6022802017101513,0.6274939706204781,0.6042534531900899,0.6013157894736842,0.6116904764652258,0.011239475766394023,16,0.9355369182700214,0.9372362001863728,0.936523598092419,0.9391547442854794,0.9344990133742601,0.9365900948417104,0.0015799432456997649,database_25
16.632749223709105,0.2487016893751733,0.14352025985717773,0.00624005794775656,gini,0.001,100,"{'criterion': 'gini', 'min_samples_split': 0.001, 'n_estimators': 100}",0.6588467441350581,0.6546809910107433,0.6535847401885552,0.6505152378864284,0.6515350877192982,0.6538325601880166,0.0029053845619809874,8,0.9924902702406404,0.9931480567889054,0.9927095324233952,0.9922161925121964,0.9918329313746984,0.9924793966679673,0.0004443829116557347,database_25
165.80021128654482,2.0335016527014598,1.4632825374603269,0.07978921596816717,gini,0.001,1000,"{'criterion': 'gini', 'min_samples_split': 0.001, 'n_estimators': 1000}",0.6671782503836878,0.6691515018636264,0.6638894979171235,0.6632317474238105,0.656359649122807,0.6639621293422111,0.0043728585679511075,4,0.9945184454311242,0.9941895521569916,0.9941347366113028,0.9938606588828592,0.994737996053497,0.9942882778271548,0.00030705153751654627,database_25
2.7331247329711914,0.8436947192654969,0.02183995246887207,0.012479972841177377,gini,0.0001,10,"{'criterion': 'gini', 'min_samples_split': 0.0001, 'n_estimators': 10}",0.6071037053277789,0.5981144485858364,0.6016224512168384,0.5869326901995177,0.5947368421052631,0.5977020274870469,0.006763169516811842,17,0.99117469714411,0.9899687551389574,0.98942059968207,0.9895302307734474,0.989201929401447,0.9898592424280064,0.0007035809386648273,database_25
18.13347187042236,0.5752668639447096,0.15600028038024902,0.017088906603316127,gini,0.0001,100,"{'criterion': 'gini', 'min_samples_split': 0.0001, 'n_estimators': 100}",0.6608199956149967,0.6584082438061829,0.6671782503836878,0.6549002411751809,0.6508771929824562,0.6584367847925009,0.005509052517193293,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,database_25
238.19993829727173,78.15801385145825,2.130963754653931,0.6486761166184036,gini,0.0001,1000,"{'criterion': 'gini', 'min_samples_split': 0.0001, 'n_estimators': 1000}",0.6689322516991888,0.6656434992326244,0.6706862530146898,0.6669590002192501,0.6598684210526315,0.6664178850436769,0.003696727266161604,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,database_25
