mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,data_set
19.805794763565064,1.3648589185297528,0.012480020523071287,0.0062400102622188576,logistic,0.1,[40],lbfgs,"{'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': [40], 'solver': 'lbfgs'}",0.5706829056111353,0.5848194867333624,0.5852544584602001,0.5869943453675511,0.5867768595041323,0.5829056111352762,0.00616893581497106,27,0.6279904306220095,0.6446824706394084,0.617061765985211,0.6323945193562418,0.6210852544584602,0.6286428882122662,0.009622981467084726,database_30
7.138572597503663,2.9304576236574365,0.015599966049194338,0.0,logistic,0.1,[40],adam,"{'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': [40], 'solver': 'adam'}",0.5624184428012179,0.560461070030448,0.5617659852109613,0.5635058721183123,0.5598086124401914,0.5615919965202261,0.0013293350839439686,37,0.5683993040452371,0.5675293605915616,0.5675293605915616,0.5675293605915616,0.5670400173988691,0.5676054806437582,0.00043983793858539836,database_30
41.48359279632568,6.8108612369461845,0.031200218200683593,0.01708903719058329,logistic,0.1,"[27, 54]",lbfgs,"{'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': [27, 54], 'solver': 'lbfgs'}",0.5695954762940408,0.5878642888212267,0.5787298825576338,0.5789473684210527,0.5719878207916486,0.5774249673771205,0.006385349393607329,30,0.6142888212266203,0.6082535885167464,0.6032514136581122,0.6045019573727708,0.6091779034362766,0.6078947368421053,0.003891812145200085,database_30
10.957459306716919,1.7978813795443191,0.015599870681762697,1.1680077279964342e-07,logistic,0.1,"[27, 54]",adam,"{'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': [27, 54], 'solver': 'adam'}",0.5622009569377989,0.5674206176598521,0.5628534145280557,0.5648107872988256,0.5574162679425837,0.5629404088734231,0.003305785123966949,36,0.5673662461939973,0.5668769030013049,0.5655719878207917,0.5643758155719878,0.5648107872988256,0.5658003479773814,0.0011551345563192068,database_30
1.0015217304229735,0.2870405197143951,0.028080034255981445,0.006240034104304503,logistic,0.1,"[20, 40, 61]",lbfgs,"{'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': [20, 40, 61], 'solver': 'lbfgs'}",0.5554588951718138,0.5552414093083949,0.5552414093083949,0.5552414093083949,0.5552414093083949,0.5552849064810786,8.699434536754148e-05,41,0.5552414093083949,0.5552957807742497,0.5552957807742497,0.5552957807742497,0.5552957807742497,0.5552849064810788,2.1748586341896472e-05,database_30
10.208657979965212,1.3103874622951932,0.03120002746582031,1.1680077279964342e-07,logistic,0.1,"[20, 40, 61]",adam,"{'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': [20, 40, 61], 'solver': 'adam'}",0.5554588951718138,0.5552414093083949,0.5552414093083949,0.5552414093083949,0.5552414093083949,0.5552849064810786,8.699434536754148e-05,41,0.5552414093083949,0.5552957807742497,0.5552957807742497,0.5552957807742497,0.5552957807742497,0.5552849064810788,2.1748586341896472e-05,database_30
17.643630933761596,0.3568282403139437,0.0062400341033935535,0.007642449765811761,logistic,0.01,[40],lbfgs,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': [40], 'solver': 'lbfgs'}",0.5898216615919966,0.5795998260113092,0.5843845150065246,0.5854719443236189,0.5896041757285776,0.5857764245324053,0.0037734894117958102,25,0.6421813832100913,0.6309808612440191,0.648651587646803,0.6382122662026968,0.6165724227925184,0.6353197042192258,0.010986125690015391,database_30
9.179056119918824,1.314022371911565,0.01248011589050293,0.006240057945934673,logistic,0.01,[40],adam,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': [40], 'solver': 'adam'}",0.5563288386254893,0.5726402783819051,0.5624184428012179,0.5689430187037843,0.5543714658547194,0.5629404088734232,0.007036062640977765,35,0.57073727707699,0.5703023053501522,0.5688886472379295,0.5694323618964767,0.5701935624184428,0.5699108307959982,0.0006618148784124704,database_30
36.51030411720276,2.8407747615274945,0.018720006942749026,0.006240081790753136,logistic,0.01,"[27, 54]",lbfgs,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': [27, 54], 'solver': 'lbfgs'}",0.5663331883427577,0.5828621139625925,0.5804697694649847,0.5756850804697695,0.5774249673771205,0.5765550239234449,0.005676339371121304,32,0.6101565898216615,0.6113527620704654,0.6038494997825141,0.6163005654632449,0.6151043932144411,0.6113527620704654,0.004388285944754482,database_30
12.941782760620118,2.857703533956488,0.02184000015258789,0.007642352433445989,logistic,0.01,"[27, 54]",adam,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': [27, 54], 'solver': 'adam'}",0.5552414093083949,0.5624184428012179,0.5615484993475424,0.5678555893866899,0.5602435841670291,0.5614615050021751,0.0040492106560198575,38,0.5701935624184428,0.5681818181818182,0.5700848194867334,0.5691061331013484,0.5734014789038713,0.5701935624184429,0.0017625079061354093,database_30
