mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,data_set
11.219167995452883,0.17301336568352335,0.16784768104553222,0.010638052187066205,50,{'n_estimators': 50},0.6086384564788424,0.6101732076299057,0.601841701381276,0.6024994518745889,0.5997807017543859,0.6045867038237998,0.0040648502888405895,1,0.6194704818286466,0.6138792961683933,0.6208956860165543,0.6207312393794879,0.6223964042973033,0.6194746215380771,0.002947643474821008,database_25
23.2464138507843,0.4194334412008144,0.329050874710083,0.03865841617866077,100,{'n_estimators': 100},0.6095154571365928,0.6079807059855294,0.595483446612585,0.6022802017101513,0.6052631578947368,0.6041045938679189,0.004965814007960501,2,0.6279120758647152,0.6299402510551992,0.6295017266896892,0.6293372800526229,0.6301249725937295,0.6293632612511912,0.0007796035055769887,database_25
30.326273155212398,3.583705618166688,0.36771626472473146,0.08145489162606978,150,{'n_estimators': 150},0.6128042096031572,0.6077614558210919,0.5985529489147117,0.5974566980925236,0.599561403508772,0.6032273431880512,0.0060143822305398,3,0.6371759030861153,0.6353669900783863,0.6390944471852217,0.6356410678068299,0.6381276035957026,0.6370812023504512,0.0014261549549440995,database_25
10.261488771438598,0.13191513190838686,0.1722686767578125,0.026338211874710117,50,{'n_estimators': 50},0.5898216615919966,0.5928664636798608,0.597868638538495,0.6017833840800348,0.5961287516311441,0.5956937799043063,0.004110425282271407,2,0.6166267942583732,0.6142344497607656,0.6140713353632014,0.6158655937364071,0.6139082209656372,0.6149412788168769,0.001097172532025178,database_30
20.564332294464112,0.2539442963200446,0.3097562789916992,0.015264099803996125,100,{'n_estimators': 100},0.5935189212701174,0.5933014354066986,0.6041757285776425,0.597868638538495,0.5965637233579817,0.597085689430187,0.00395465615752266,1,0.627337973031753,0.6297303175293606,0.6242931709438887,0.625761200521966,0.6280448020878643,0.6270334928229665,0.0018717056298449227,database_30
28.0902093410492,3.902450022622952,0.36920852661132814,0.08167497631089699,150,{'n_estimators': 150},0.5906916050456721,0.58721183123097,0.6039582427142236,0.5956937799043063,0.597868638538495,0.5950848194867333,0.005799006781817427,3,0.6367986080904742,0.6400065245759026,0.6320682905611136,0.6358199217050892,0.632557633753806,0.6354501957372771,0.002916135905612181,database_30
6.449051284790039,2.1667667904097554,0.09360017776489256,0.03946530894729122,50,{'n_estimators': 50},0.582513028372901,0.5778807180081066,0.5767226404169079,0.5894614939200926,0.57498552403011,0.5803126809496236,0.0052100622486170025,1,0.6297046902142444,0.635060799073538,0.6278228141285466,0.6295599305153445,0.6344817602779386,0.6313259988419224,0.00289577295889983,database_1
12.723382472991945,1.9012997313810704,0.1216801166534424,0.015284763263745347,100,{'n_estimators': 100},0.5842501447596989,0.57498552403011,0.5738274464389114,0.5628257093225246,0.5622466705269253,0.571627099015634,0.008257344977406319,2,0.6556166763173132,0.6588013896931094,0.6554719166184134,0.6502605674580196,0.6541690793283149,0.6548639258830342,0.0027609283848018945,database_1
14.302105188369751,0.9851216493496696,0.1310401439666748,0.015908971720933536,150,{'n_estimators': 150},0.5773016792125072,0.5645628257093225,0.5709322524609148,0.5645628257093225,0.5778807180081066,0.5710480602200347,0.005829629623000932,3,0.6719745222929936,0.6763173132599885,0.6774753908511869,0.6745801968731905,0.6722640416907932,0.6745222929936305,0.0021696576717076294,database_1
10.832658958435056,1.9369078579059125,0.16224031448364254,0.051833484158514034,50,{'n_estimators': 50},0.5900449360525406,0.6021431040442448,0.5941928793639821,0.5962668510197028,0.6078838174273858,0.5981063175815712,0.006254273039320321,1,0.6277763373952122,0.6199118485869847,0.6288134128424511,0.6298504882896897,0.6253888696854476,0.6263481913599571,0.0035420278995557525,database_5
19.047633552551265,1.9392033229716263,0.2714404582977295,0.02893381184384257,100,{'n_estimators': 100},0.5772554441755963,0.6028344279294849,0.5921189077082614,0.591081921880401,0.6071922544951589,0.5940965912377806,0.010435227683658087,2,0.6420361247947455,0.6357272491573762,0.6424682395644283,0.6431596231959208,0.644141030072589,0.6415064533570121,0.002975861243685709,database_5
24.373482751846318,2.903543530634101,0.2558404922485352,0.01871992747022672,150,{'n_estimators': 150},0.5751814725198756,0.5914275838230211,0.5979951607328033,0.5948842032492223,0.6068464730290456,0.5932669786707936,0.01039079105857958,3,0.6543946072076744,0.6477400397545588,0.6575058335493907,0.6546538760694841,0.6523505012098167,0.6533289715581849,0.003241317334767527,database_5
12.841942405700689,3.282349626725152,0.1809603214263916,0.007642488699898546,50,{'n_estimators': 50},0.6038389762729939,0.5905091975473207,0.5875766462276726,0.5966408957611303,0.5925333333333334,0.5942198098284901,0.005641533289406421,1,0.6206758648270346,0.6180763847230554,0.6263413983869893,0.6197427181230419,0.6210343908291123,0.6211741513778467,0.002778971880451252,database_10
24.68860340118408,3.990517503164195,0.3369606494903564,0.02334800597703823,100,{'n_estimators': 100},0.6006398293788323,0.5985070647827246,0.5865102639296188,0.5875766462276726,0.5957333333333333,0.5937934275304364,0.0057366832009909646,2,0.6350729854029195,0.6306072118909551,0.6349396787309205,0.633873225354929,0.6366302319381498,0.6342246666635748,0.002011324004509762,database_10
