mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,data_set
1.347842311859131,0.4731310400777767,34.485420560836786,11.4255546830685,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.5279543959657971,0.5292698969524228,0.5382591536943653,0.539574654680991,0.5348684210526315,0.5339853044692415,0.004666764260494068,5,0.7054212574686181,0.7059694129255056,0.7095872389409636,0.7055308885599956,0.70664327998246,0.7066304155755085,0.001539540021959818,database_25
1.3291223049163818,0.4821796942880462,34.273260259628294,11.443748825539648,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.5281736461302347,0.5303661477746109,0.5386976540232405,0.5408901556676168,0.5350877192982456,0.5346430645787896,0.004812669796839606,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,database_25
1.4726425647735597,0.4253517756725085,37.109345245361325,12.497853339840827,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.5301468976101732,0.5391361543521158,0.5327778995834247,0.5305853979390485,0.5348684210526315,0.5335029541074787,0.003283242246511448,6,0.6506605273255496,0.6494545853203969,0.6513183138738146,0.6549909554349613,0.6508441131330849,0.6514536990175614,0.0018723078783862961,database_25
1.2916822910308838,0.07793775281752452,30.750773859024054,0.2235543651628968,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.5404516553387415,0.5516334137250603,0.5490024117518089,0.5492216619162464,0.5414473684210527,0.5463513022305819,0.004517132907395455,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,database_25
1.9125633716583248,0.6740656659050042,34.36374034881593,3.1718565521592352,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",0.5446174084630564,0.5470291602718702,0.5623766717825038,0.5522911642183732,0.5453947368421053,0.5503418283155819,0.006585648548138395,2,0.6412322534670832,0.6330099216137697,0.6327906594310146,0.6351477278956312,0.6364832273624205,0.6357327579539839,0.0030730993103127674,database_25
1.3353623867034912,0.01590901847840271,31.165734672546385,0.3499973591384486,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",0.5452751589563692,0.5476869107651829,0.5643499232624425,0.5522911642183732,0.5445175438596491,0.5508241402124034,0.007287050510209394,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,database_25
1.2324021816253663,0.462455886376525,36.641344404220575,12.63128132686198,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.5491518051326664,0.5539364941278817,0.549804262722923,0.5550239234449761,0.5500217485863419,0.5515876468029577,0.0024037845810610022,5,0.7181926924749892,0.7143323183993041,0.7161809482383645,0.7147129186602871,0.7138973466724663,0.7154632448890821,0.0015658226988701724,database_30
1.4476823329925537,0.5838163504050982,41.87047371864319,14.537092854162813,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.5491518051326664,0.5539364941278817,0.549804262722923,0.5545889517181383,0.5504567203131796,0.5515876468029578,0.0022323840661776914,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,database_30
1.3884023666381835,0.3750500544931625,38.87526836395264,13.447455268916388,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.5282731622444541,0.5445846020008699,0.5476294040887343,0.5465419747716398,0.5535015224010439,0.5441061331013484,0.008456145715740588,6,0.6576228795128317,0.6550130491518051,0.6566441931274467,0.6586559373640714,0.6530556763810352,0.6561983471074381,0.001977328078761334,database_30
1.2760820865631104,0.018192505786103427,32.74445762634277,0.4457351563451733,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.5411048281861679,0.5606785558938671,0.5552414093083949,0.5582862113962592,0.5635058721183123,0.5557633753806003,0.007818125238256523,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,database_30
2.077923583984375,0.6338604671263851,41.40559287071228,7.166723916732828,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",0.5461070030448021,0.5606785558938671,0.5526315789473685,0.5595911265767725,0.5615484993475424,0.5561113527620705,0.00591145620481755,2,0.6406046107003045,0.6407133536320139,0.6377772944758591,0.6439756415832971,0.6420726402783821,0.6410287081339714,0.002031019889030905,database_30
1.2636021614074706,0.013953087125476963,34.19838018417359,0.480257936217248,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",0.5450195737277077,0.5606785558938671,0.5537190082644629,0.560461070030448,0.5632883862548934,0.5566333188342758,0.006613287018702742,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,database_30
0.496080732345581,0.16726264726754336,6.40225133895874,1.549691349886452,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.5217139548349741,0.5072379849449913,0.5107122177185871,0.5246091488129705,0.5147654892877823,0.5158077591198611,0.00652440811627253,5,0.6913723219455703,0.690793283149971,0.6931094383323683,0.6897799652576723,0.6971627099015634,0.6924435437174289,0.0025953601425610807,database_1
0.3806407451629639,0.007642566568072103,5.538009738922119,0.047317244164295,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.5234510712217718,0.5101331789229878,0.5095541401273885,0.527504342790967,0.5118702953097858,0.5165026056745802,0.007478348252906981,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,database_1
